gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
male,no,yes,yes,1,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,74.5,74.5
male,no,no,no,4,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,76.05,318.9
female,no,no,no,54,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,monthly,no,electronic check,111.1,6014.85
female,no,yes,yes,8,yes,no,dsl,no,no,no,yes,yes,yes,monthly,yes,electronic check,68.55,564.35
male,no,yes,no,58,no,no phone service,dsl,no,no,no,no,yes,yes,one year,yes,credit card,45.0,2689.35
male,no,yes,no,34,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,no,electronic check,100.85,3527.3
female,yes,no,no,2,no,no phone service,dsl,no,no,yes,no,no,no,monthly,yes,electronic check,30.4,78.65
male,no,no,yes,25,yes,no,fiber optic,no,yes,no,no,yes,yes,monthly,yes,electronic check,95.9,2448.75
female,no,yes,no,68,yes,yes,fiber optic,no,no,yes,no,yes,no,two year,yes,bank transfer,89.95,5974.3
female,no,yes,no,71,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer,105.15,7555.0
female,no,no,yes,1,yes,no,dsl,no,no,yes,no,no,yes,monthly,no,electronic check,59.2,59.2
male,no,no,no,13,yes,yes,fiber optic,yes,no,no,no,yes,yes,monthly,no,mailed check,98.15,1230.25
male,no,yes,yes,5,yes,yes,fiber optic,yes,no,yes,no,no,no,monthly,yes,electronic check,84.5,453.75
female,no,no,no,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer,20.85,450.65
female,no,yes,yes,10,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,26.1,225.55
male,yes,yes,no,55,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,74.0,4052.4
female,no,yes,yes,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,20.55,583.3
female,no,no,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,18.85,163.2
male,no,no,no,23,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,electronic check,20.85,473.9
male,no,yes,yes,70,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,electronic check,84.1,5979.7
female,no,no,yes,5,yes,no,dsl,no,no,no,no,no,no,monthly,no,mailed check,46.0,221.7
female,no,no,no,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,19.55,470.2
female,no,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer,20.2,140.95
male,no,yes,no,19,yes,yes,fiber optic,yes,yes,no,yes,no,no,monthly,yes,credit card,88.8,1672.35
male,yes,yes,no,43,yes,no,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer,100.55,4304.0
male,yes,no,no,67,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,credit card,101.4,6841.05
male,no,no,no,4,yes,no,dsl,no,no,no,no,no,yes,monthly,yes,mailed check,55.3,238.5
male,no,yes,no,59,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,electronic check,113.75,6561.25
male,no,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.4,1710.9
male,no,no,yes,19,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,electronic check,20.0,377.55
female,no,no,no,1,yes,no,fiber optic,no,no,yes,no,no,no,monthly,no,bank transfer,73.5,73.5
female,no,yes,yes,30,no,no phone service,dsl,no,no,no,yes,yes,yes,monthly,no,credit card,51.2,1561.5
female,no,yes,no,2,yes,no,fiber optic,yes,no,no,no,no,no,monthly,yes,electronic check,74.4,139.4
male,no,yes,yes,60,yes,no,dsl,yes,yes,yes,yes,no,no,one year,yes,bank transfer,65.85,3928.3
male,no,no,no,44,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,monthly,yes,electronic check,111.5,4915.15
female,no,no,no,1,yes,no,dsl,no,yes,no,no,no,no,monthly,yes,electronic check,48.6,48.6
male,no,yes,no,3,no,no phone service,dsl,no,no,no,yes,no,no,monthly,yes,electronic check,29.9,92.25
male,yes,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,24.85,1901.0
female,no,no,no,2,yes,no,dsl,no,yes,no,no,no,no,monthly,no,mailed check,49.2,103.7
female,no,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,one year,no,mailed check,25.85,25.85
female,no,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,115.5,8425.15
female,no,no,no,6,yes,no,fiber optic,no,yes,no,no,no,yes,monthly,yes,mailed check,85.95,514.6
female,no,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,monthly,yes,credit card,85.55,85.55
male,yes,no,no,20,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,no,electronic check,89.95,1648.45
male,no,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,88.35,88.35
male,no,no,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,credit card,20.05,265.45
male,no,no,no,9,no,no phone service,dsl,no,no,no,no,no,no,monthly,yes,electronic check,24.95,190.25
female,no,no,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.1,223.6
female,no,no,no,1,yes,no,dsl,no,no,no,yes,no,no,monthly,yes,electronic check,49.9,49.9
male,no,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer,19.65,351.55
female,no,no,no,12,yes,yes,fiber optic,no,no,no,yes,no,no,monthly,yes,credit card,79.55,958.25
male,no,no,no,12,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,electronic check,106.7,1253.9
female,no,no,no,15,yes,yes,dsl,yes,no,no,no,no,no,monthly,yes,mailed check,55.7,899.8
male,no,yes,no,71,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,electronic check,99.0,6994.6
female,no,yes,no,30,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,85.0,2624.25
male,no,no,yes,33,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,20.15,682.15
female,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.9,19.9
female,no,yes,yes,62,yes,yes,dsl,no,no,no,no,yes,yes,monthly,yes,credit card,70.45,4300.45
female,no,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card,116.8,8456.75
female,no,yes,yes,30,yes,no,dsl,yes,no,no,yes,no,yes,monthly,no,bank transfer,66.3,1923.5
female,no,no,yes,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,20.55,57.4
female,no,yes,yes,28,yes,yes,fiber optic,no,no,no,yes,no,yes,one year,yes,electronic check,90.45,2509.25
male,no,no,no,30,yes,yes,fiber optic,yes,yes,no,no,no,yes,monthly,yes,credit card,94.3,2679.7
female,no,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.0,233.55
male,no,no,no,51,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer,24.6,1266.4
female,no,no,no,15,no,no phone service,dsl,yes,yes,yes,yes,no,no,one year,no,mailed check,45.9,693.45
male,no,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,25.1,1790.8
male,no,no,no,32,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,monthly,yes,credit card,108.15,3432.9
female,yes,no,no,6,yes,no,fiber optic,yes,no,no,no,no,no,monthly,yes,electronic check,74.1,450.9
male,no,yes,no,63,yes,no,dsl,yes,yes,no,yes,yes,no,one year,no,credit card,70.8,4448.8
female,yes,no,no,11,yes,yes,fiber optic,no,no,no,no,yes,yes,monthly,yes,bank transfer,95.15,997.65
male,no,no,no,19,yes,no,dsl,no,no,no,yes,yes,no,monthly,yes,credit card,61.55,1093.2
male,no,yes,yes,64,yes,no,dsl,yes,no,yes,no,yes,yes,one year,yes,credit card,73.05,4688.65
female,no,yes,yes,7,yes,no,dsl,yes,yes,yes,no,yes,no,one year,no,electronic check,69.45,477.05
female,yes,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.05,91.45
male,no,no,no,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,19.95,147.5
male,no,no,no,4,yes,no,fiber optic,no,no,yes,yes,no,yes,monthly,yes,electronic check,90.4,356.65
female,no,no,no,3,yes,no,fiber optic,yes,no,no,no,no,no,monthly,yes,electronic check,74.55,233.65
female,yes,no,no,65,no,no phone service,dsl,no,yes,yes,no,yes,yes,two year,yes,bank transfer,53.5,3517.9
male,no,yes,yes,42,yes,no,dsl,yes,no,no,yes,no,yes,one year,no,credit card,63.7,2763.35
male,no,no,no,26,yes,no,dsl,yes,no,no,yes,yes,yes,one year,no,bank transfer,75.0,1908.35
female,no,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,25.05,1171.5
male,no,yes,yes,69,yes,yes,fiber optic,no,no,no,yes,yes,yes,two year,yes,electronic check,99.35,6856.45
male,no,yes,yes,17,no,no phone service,dsl,yes,no,yes,no,yes,no,one year,no,credit card,44.45,792.15
female,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,electronic check,21.0,21.0
female,no,no,no,4,yes,no,fiber optic,no,yes,no,no,no,no,monthly,yes,bank transfer,76.65,333.6
female,yes,no,no,34,yes,yes,fiber optic,no,yes,no,yes,yes,no,monthly,yes,electronic check,96.35,3190.25
female,no,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,electronic check,70.35,139.25
female,no,yes,yes,1,yes,no,dsl,no,no,yes,no,no,no,monthly,no,mailed check,50.45,50.45
female,no,no,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.3,246.7
male,no,no,no,38,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,credit card,69.5,2625.25
female,no,yes,yes,31,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,bank transfer,80.55,2471.6
female,no,yes,yes,67,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card,108.75,7156.2
male,no,yes,yes,22,yes,yes,fiber optic,no,no,yes,no,yes,no,monthly,yes,electronic check,88.75,1885.15
female,no,yes,no,63,yes,yes,fiber optic,no,no,no,yes,no,no,one year,yes,credit card,81.2,4965.1
female,no,no,no,70,yes,no,dsl,yes,no,yes,yes,yes,yes,two year,no,bank transfer,79.6,5589.45
male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.45,20.45
female,no,yes,yes,49,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,mailed check,100.45,4941.8
female,yes,yes,no,71,yes,no,fiber optic,no,yes,yes,no,no,yes,two year,no,credit card,89.45,6435.25
female,no,yes,yes,23,yes,no,dsl,yes,yes,yes,yes,no,no,one year,yes,mailed check,66.25,1533.8
male,no,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card,90.8,6397.6
female,no,yes,yes,72,yes,yes,dsl,yes,no,yes,no,yes,no,two year,yes,bank transfer,71.45,5025.85
female,no,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,bank transfer,69.75,144.55
female,no,no,no,42,yes,no,dsl,yes,yes,yes,no,no,no,monthly,no,bank transfer,59.65,2536.55
female,no,yes,yes,47,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,948.9
male,no,no,yes,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.85,535.05
female,no,yes,yes,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,63.8,4684.3
male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,69.55,69.55
male,no,no,no,40,yes,no,dsl,no,no,no,yes,no,no,monthly,yes,electronic check,51.1,2092.9
male,no,no,no,1,yes,yes,dsl,no,no,yes,yes,no,no,monthly,no,mailed check,62.05,62.05
female,yes,no,no,1,yes,no,fiber optic,no,no,yes,no,no,yes,monthly,yes,electronic check,85.0,85.0
male,no,yes,yes,70,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,no,bank transfer,98.3,6859.5
male,no,no,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,19.9,1022.6
male,no,no,no,17,yes,no,fiber optic,no,no,yes,no,no,no,monthly,yes,electronic check,76.65,1313.55
male,no,no,no,33,yes,no,dsl,no,yes,yes,no,yes,no,monthly,yes,credit card,66.4,2245.4
male,yes,yes,no,17,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,credit card,100.45,1622.45
male,no,yes,yes,21,yes,yes,dsl,yes,no,no,no,yes,yes,one year,yes,bank transfer,75.9,1549.75
female,no,no,no,35,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,yes,credit card,85.95,3110.1
female,no,no,no,12,no,no phone service,dsl,no,yes,yes,yes,yes,yes,one year,no,electronic check,60.65,743.3
female,no,yes,no,9,yes,no,dsl,no,yes,no,no,no,no,monthly,no,mailed check,50.85,466.6
female,no,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,24.45,1709.1
male,yes,yes,no,18,yes,no,dsl,yes,no,no,no,no,yes,monthly,yes,credit card,59.1,1011.05
female,no,yes,no,58,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,yes,credit card,109.1,6393.65
female,yes,no,yes,30,yes,yes,fiber optic,no,no,no,yes,yes,yes,monthly,yes,electronic check,101.3,2974.5
male,no,yes,yes,56,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,115.85,6567.9
male,no,no,no,10,yes,no,fiber optic,no,no,yes,no,yes,yes,monthly,yes,electronic check,94.9,1048.85
female,no,yes,no,2,no,no phone service,dsl,no,no,no,no,no,yes,monthly,yes,electronic check,35.1,68.75
female,no,yes,yes,18,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,24.65,471.35
female,no,yes,yes,51,no,no phone service,dsl,no,no,yes,yes,yes,yes,one year,yes,electronic check,56.15,2898.95
male,no,yes,no,60,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,monthly,yes,bank transfer,109.45,6572.85
female,no,yes,yes,24,yes,no,dsl,yes,no,no,yes,no,no,monthly,no,electronic check,55.15,1319.85
male,no,yes,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card,115.65,7968.85
male,no,no,no,12,yes,no,dsl,no,yes,no,yes,no,no,monthly,yes,mailed check,53.75,648.65
male,no,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer,61.6,1611.0
male,no,no,no,36,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,20.35,695.85
male,no,yes,yes,11,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,no,electronic check,90.6,1020.2
male,no,yes,yes,7,yes,no,fiber optic,no,yes,no,yes,yes,no,monthly,yes,electronic check,89.75,608.8
female,yes,yes,no,26,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,bank transfer,98.1,2510.7
male,no,no,no,41,yes,no,fiber optic,no,no,no,yes,no,no,monthly,yes,electronic check,74.25,3089.1
female,yes,no,no,57,no,no phone service,dsl,no,yes,yes,no,yes,yes,monthly,yes,electronic check,55.0,3094.05
female,no,yes,yes,28,yes,no,fiber optic,no,no,no,no,yes,yes,one year,yes,bank transfer,90.1,2598.95
female,no,no,no,10,yes,no,dsl,no,yes,no,yes,no,yes,one year,no,mailed check,64.9,685.55
female,no,no,no,41,yes,yes,dsl,no,yes,no,no,no,no,one year,yes,credit card,56.3,2364.0
female,no,no,no,22,yes,no,fiber optic,yes,no,no,yes,no,yes,monthly,yes,electronic check,89.05,1886.25
female,no,no,no,57,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,two year,yes,bank transfer,112.95,6465.0
male,no,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.45,270.2
female,no,yes,yes,61,yes,yes,fiber optic,yes,yes,yes,no,no,yes,one year,yes,credit card,100.7,6018.65
female,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.05,20.05
female,no,yes,yes,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.35,309.25
male,no,no,no,6,yes,yes,fiber optic,no,no,no,yes,no,yes,monthly,yes,bank transfer,87.95,522.35
female,no,no,no,7,yes,no,dsl,no,no,no,yes,yes,no,monthly,yes,mailed check,59.5,415.95
female,no,yes,yes,9,yes,yes,dsl,no,yes,no,no,no,no,monthly,yes,mailed check,55.3,501.2
male,yes,yes,yes,1,yes,no,dsl,no,no,no,yes,no,no,monthly,yes,credit card,49.25,49.25
male,no,no,no,9,yes,no,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,80.8,713.1
female,no,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer,20.45,900.9
female,no,no,no,15,yes,no,fiber optic,yes,yes,no,no,yes,yes,monthly,yes,credit card,99.1,1426.4
female,no,yes,yes,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer,19.55,608.5
female,yes,yes,no,70,yes,yes,fiber optic,no,no,no,no,no,no,two year,yes,credit card,75.65,5411.4
male,no,no,no,25,yes,no,fiber optic,yes,no,yes,yes,yes,yes,monthly,yes,electronic check,105.5,2686.05
female,no,yes,yes,49,no,no phone service,dsl,yes,no,no,yes,no,no,one year,yes,credit card,35.8,1782.0
male,no,no,no,18,no,no phone service,dsl,no,no,no,no,no,no,monthly,no,mailed check,25.15,476.8
female,no,no,no,25,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,credit card,19.2,532.1
male,no,no,yes,23,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,no,mailed check,40.1,857.75
male,no,yes,yes,67,yes,no,fiber optic,no,yes,yes,yes,yes,yes,two year,no,bank transfer,103.15,6895.5
male,no,yes,yes,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,20.5,759.35
male,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,monthly,yes,mailed check,45.85,45.85
male,no,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card,114.45,8375.05
female,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,electronic check,20.7,20.7
male,yes,yes,yes,60,yes,yes,fiber optic,yes,no,no,no,no,no,monthly,yes,electronic check,80.95,4859.1
female,no,no,no,7,yes,no,dsl,yes,no,no,no,no,yes,one year,yes,electronic check,59.1,369.25
male,no,no,no,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.55,1240.15
female,no,no,no,15,yes,no,dsl,no,yes,no,no,no,no,monthly,no,electronic check,48.85,736.8
male,no,yes,yes,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.85,35.9
female,no,no,no,13,yes,yes,dsl,yes,no,yes,no,yes,yes,monthly,yes,electronic check,78.75,995.35
male,no,no,no,26,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,electronic check,98.35,2515.3
female,no,yes,no,52,no,no phone service,dsl,yes,no,yes,no,no,no,one year,no,mailed check,35.45,1958.95
male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,bank transfer,20.2,20.2
female,yes,no,no,15,yes,yes,fiber optic,no,yes,no,no,no,yes,monthly,no,electronic check,89.85,1424.95
female,no,no,no,2,yes,yes,fiber optic,no,no,no,no,no,no,monthly,no,credit card,74.9,147.15
female,no,yes,yes,31,yes,yes,fiber optic,no,yes,no,no,no,yes,monthly,yes,electronic check,91.15,2995.45
male,no,no,no,26,yes,no,fiber optic,no,yes,no,no,no,no,one year,no,bank transfer,75.5,2018.1
female,no,no,no,10,no,no phone service,dsl,yes,no,no,no,no,no,monthly,no,mailed check,29.75,301.9
male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.05,20.05
female,yes,no,no,2,yes,no,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,79.6,195.05
male,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,19.3,28.3
female,no,yes,no,13,no,no phone service,dsl,no,no,yes,no,yes,yes,monthly,yes,bank transfer,48.75,633.4
male,no,yes,yes,33,yes,no,dsl,yes,no,yes,no,yes,yes,one year,no,credit card,74.75,2453.3
female,yes,no,no,46,yes,no,fiber optic,no,yes,yes,no,yes,no,one year,yes,bank transfer,91.3,4126.35
female,no,no,no,13,no,no phone service,dsl,no,no,yes,no,yes,yes,monthly,no,electronic check,49.15,649.4
female,yes,no,no,37,yes,yes,fiber optic,yes,yes,no,no,yes,yes,monthly,yes,bank transfer,106.75,4056.75
female,no,yes,yes,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,19.1,1143.8
male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.8,20.8
female,no,yes,yes,9,yes,no,fiber optic,no,no,no,yes,no,no,monthly,yes,electronic check,75.85,647.5
male,no,no,no,3,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,mailed check,69.6,207.4
male,no,yes,no,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.9,1363.45
female,no,yes,yes,62,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,20.3,1296.15
male,no,no,no,20,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.7,419.4
male,no,no,no,61,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,no,electronic check,104.0,6363.45
female,no,no,no,4,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,23.9,97.5
male,no,yes,no,63,yes,yes,fiber optic,no,no,yes,no,yes,yes,two year,no,electronic check,102.6,6296.75
male,no,no,no,50,no,no phone service,dsl,yes,yes,no,no,no,no,monthly,yes,mailed check,35.0,1782.4
male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,monthly,no,electronic check,80.5,80.5
female,no,yes,yes,70,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,no,credit card,74.1,5222.3
female,no,yes,yes,72,yes,yes,dsl,no,no,yes,no,yes,yes,two year,yes,bank transfer,76.8,5468.45
female,no,no,no,35,yes,no,dsl,yes,yes,yes,no,no,no,monthly,no,electronic check,60.55,1982.6
male,no,no,no,12,yes,yes,dsl,yes,yes,no,yes,no,no,monthly,yes,electronic check,67.25,832.3
female,no,yes,no,56,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,bank transfer,109.8,6109.65
male,no,no,yes,12,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,credit card,73.75,871.4
female,no,no,no,36,yes,yes,dsl,no,no,yes,no,no,no,one year,no,electronic check,55.8,1941.5
female,no,yes,no,40,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,no,bank transfer,105.75,4228.55
female,no,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,19.6,59.75
female,yes,no,no,40,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,credit card,103.75,4188.4
male,no,yes,no,67,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,credit card,70.9,4677.1
female,no,no,no,67,yes,no,dsl,yes,no,yes,yes,no,yes,one year,yes,bank transfer,72.35,4991.5
female,no,no,no,7,yes,no,dsl,no,no,no,no,yes,yes,monthly,yes,electronic check,66.85,458.1
male,no,no,no,3,yes,no,fiber optic,no,yes,yes,no,no,yes,monthly,no,electronic check,90.4,268.45
male,no,no,no,42,yes,yes,fiber optic,no,no,no,yes,yes,yes,monthly,yes,electronic check,100.3,4222.95
female,no,yes,yes,40,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,electronic check,26.2,1077.5
female,yes,yes,no,53,yes,no,fiber optic,no,yes,yes,yes,yes,no,one year,yes,electronic check,94.0,4871.45
female,no,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,electronic check,19.55,61.05
female,yes,no,no,9,yes,yes,fiber optic,no,no,yes,no,yes,no,monthly,yes,electronic check,90.1,816.8
female,no,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,20.1,1326.25
male,yes,no,no,46,yes,no,fiber optic,yes,no,no,no,no,yes,monthly,no,electronic check,85.0,3969.4
female,no,yes,yes,61,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,24.1,1551.6
female,no,yes,yes,54,yes,no,dsl,yes,no,yes,yes,no,yes,two year,no,bank transfer,69.95,3871.85
male,no,no,no,11,no,no phone service,dsl,no,no,yes,no,yes,no,one year,yes,electronic check,41.6,470.6
female,no,yes,no,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.55,521.8
male,no,yes,yes,67,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,electronic check,111.3,7482.1
male,no,yes,yes,49,yes,yes,fiber optic,no,no,no,yes,yes,yes,one year,yes,electronic check,97.95,4917.9
male,no,yes,no,72,yes,yes,fiber optic,yes,yes,no,yes,no,yes,two year,yes,bank transfer,100.55,7325.1
female,no,yes,yes,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card,87.25,6328.7
female,yes,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer,74.85,3268.05
male,no,yes,yes,41,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer,60.3,2511.3
female,no,no,no,11,yes,yes,dsl,no,no,no,no,no,yes,monthly,yes,mailed check,58.95,601.6
female,no,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,19.3,279.3
female,yes,yes,no,55,yes,no,fiber optic,no,no,yes,yes,yes,no,two year,no,credit card,88.8,4805.3
